Regija,long,lat,order,hole,piece,id,group
kr,14.0788908,46.4860611,226,FALSE,1,0,0.1
kr,14.08327293,46.4864769,227,FALSE,1,0,0.1
kr,14.09140205,46.48724365,228,FALSE,1,0,0.1
kr,14.09940434,46.48347855,229,FALSE,1,0,0.1
kr,14.10089016,46.48278046,230,FALSE,1,0,0.1
kr,14.10376358,46.48190308,231,FALSE,1,0,0.1
kr,14.10576534,46.48129272,232,FALSE,1,0,0.1
kr,14.1121006,46.47936249,233,FALSE,1,0,0.1
kr,14.11352062,46.47924423,234,FALSE,1,0,0.1
kr,14.1194191,46.47875977,235,FALSE,1,0,0.1
kr,14.12543774,46.47040558,236,FALSE,1,0,0.1
kr,14.12577438,46.46989822,237,FALSE,1,0,0.1
kr,14.13068485,46.46249771,238,FALSE,1,0,0.1
kr,14.1333189,46.46116638,239,FALSE,1,0,0.1
kr,14.13899231,46.45830154,240,FALSE,1,0,0.1
kr,14.13805389,46.4545517,241,FALSE,1,0,0.1
kr,14.13732433,46.45163345,242,FALSE,1,0,0.1
kr,14.1401453,46.44851303,243,FALSE,1,0,0.1
kr,14.14552498,46.44666672,244,FALSE,1,0,0.1
kr,14.15402794,46.44374466,245,FALSE,1,0,0.1
kr,14.15404797,46.44330215,246,FALSE,1,0,0.1
kr,14.15405655,46.44313431,247,FALSE,1,0,0.1
kr,14.1541853,46.44057846,248,FALSE,1,0,0.1
kr,14.15433502,46.43761826,249,FALSE,1,0,0.1
kr,14.16955757,46.43544388,250,FALSE,1,0,0.1
kr,14.1762476,46.43724442,251,FALSE,1,0,0.1
kr,14.18444061,46.43945313,252,FALSE,1,0,0.1
kr,14.18515873,46.43964386,253,FALSE,1,0,0.1
kr,14.1855526,46.43975067,254,FALSE,1,0,0.1
kr,14.18668652,46.44065475,255,FALSE,1,0,0.1
kr,14.19109058,46.44416428,256,FALSE,1,0,0.1
kr,14.19646549,46.44143677,257,FALSE,1,0,0.1
kr,14.19771862,46.44079971,258,FALSE,1,0,0.1
kr,14.21116257,46.44049454,259,FALSE,1,0,0.1
kr,14.21148872,46.44168472,260,FALSE,1,0,0.1
kr,14.21185398,46.44301987,261,FALSE,1,0,0.1
kr,14.22192287,46.44181442,262,FALSE,1,0,0.1
kr,14.22738552,46.4383812,263,FALSE,1,0,0.1
kr,14.23007774,46.43669128,264,FALSE,1,0,0.1
kr,14.2315464,46.43611526,265,FALSE,1,0,0.1
kr,14.23181152,46.43601227,266,FALSE,1,0,0.1
kr,14.2371912,46.43389893,267,FALSE,1,0,0.1
kr,14.24602032,46.43571472,268,FALSE,1,0,0.1
kr,14.24727058,46.43622589,269,FALSE,1,0,0.1
kr,14.25219727,46.43824005,270,FALSE,1,0,0.1
kr,14.26148796,46.43938446,271,FALSE,1,0,0.1
kr,14.26650333,46.44000244,272,FALSE,1,0,0.1
kr,14.27638912,46.44329071,273,FALSE,1,0,0.1
kr,14.27675724,46.44341278,274,FALSE,1,0,0.1
kr,14.28001785,46.44449615,275,FALSE,1,0,0.1
kr,14.28781509,46.44131088,276,FALSE,1,0,0.1
kr,14.2887907,46.44091415,277,FALSE,1,0,0.1
kr,14.28947067,46.4408989,278,FALSE,1,0,0.1
kr,14.30025005,46.44063568,279,FALSE,1,0,0.1
kr,14.30469227,46.43593216,280,FALSE,1,0,0.1
kr,14.30770302,46.43274307,281,FALSE,1,0,0.1
kr,14.31468296,46.4331398,282,FALSE,1,0,0.1
kr,14.3162384,46.43322754,283,FALSE,1,0,0.1
kr,14.31830692,46.43264771,284,FALSE,1,0,0.1
kr,14.32691956,46.43022919,285,FALSE,1,0,0.1
kr,14.32824707,46.42985535,286,FALSE,1,0,0.1
kr,14.32891178,46.43055344,287,FALSE,1,0,0.1
kr,14.33181381,46.43360519,288,FALSE,1,0,0.1
kr,14.33368969,46.43557739,289,FALSE,1,0,0.1
kr,14.35205269,46.43811035,290,FALSE,1,0,0.1
kr,14.3708334,46.44046402,291,FALSE,1,0,0.1
kr,14.37525272,46.44010544,292,FALSE,1,0,0.1
kr,14.38271236,46.43949509,293,FALSE,1,0,0.1
kr,14.39468384,46.44247055,294,FALSE,1,0,0.1
kr,14.39948368,46.44366074,295,FALSE,1,0,0.1
kr,14.41344833,46.44601822,296,FALSE,1,0,0.1
kr,14.42529011,46.44726944,297,FALSE,1,0,0.1
kr,14.43364525,46.44439316,298,FALSE,1,0,0.1
kr,14.43421459,46.44419861,299,FALSE,1,0,0.1
kr,14.43542671,46.44378281,300,FALSE,1,0,0.1
kr,14.43697834,46.44324875,301,FALSE,1,0,0.1
kr,14.43949604,46.44161224,302,FALSE,1,0,0.1
kr,14.43544292,46.4388237,303,FALSE,1,0,0.1
kr,14.43122482,46.43592072,304,FALSE,1,0,0.1
kr,14.43118191,46.43351364,305,FALSE,1,0,0.1
kr,14.43988419,46.42912292,306,FALSE,1,0,0.1
kr,14.44272995,46.42461395,307,FALSE,1,0,0.1
kr,14.44299221,46.42419815,308,FALSE,1,0,0.1
kr,14.44423485,46.42222977,309,FALSE,1,0,0.1
kr,14.45292282,46.42282104,310,FALSE,1,0,0.1
kr,14.45594692,46.42292786,311,FALSE,1,0,0.1
kr,14.46369553,46.4231987,312,FALSE,1,0,0.1
kr,14.47768497,46.42016983,313,FALSE,1,0,0.1
kr,14.47770882,46.41867447,314,FALSE,1,0,0.1
kr,14.47776318,46.41523743,315,FALSE,1,0,0.1
kr,14.48894024,46.41579056,316,FALSE,1,0,0.1
kr,14.49142361,46.41439819,317,FALSE,1,0,0.1
kr,14.49195671,46.41410065,318,FALSE,1,0,0.1
kr,14.49315834,46.41490555,319,FALSE,1,0,0.1
kr,14.49662685,46.4172287,320,FALSE,1,0,0.1
kr,14.50017357,46.42115784,321,FALSE,1,0,0.1
kr,14.50095081,46.42201996,322,FALSE,1,0,0.1
kr,14.506696700000001,46.42510605,323,FALSE,1,0,0.1
kr,14.51419258,46.42803574,324,FALSE,1,0,0.1
kr,14.52190971,46.42832184,325,FALSE,1,0,0.1
kr,14.52726078,46.42544937,326,FALSE,1,0,0.1
kr,14.52532196,46.42194366,327,FALSE,1,0,0.1
kr,14.52410889,46.41975021,328,FALSE,1,0,0.1
kr,14.53267479,46.41620636,329,FALSE,1,0,0.1
kr,14.54096985,46.41277695,330,FALSE,1,0,0.1
kr,14.54228687,46.40625,331,FALSE,1,0,0.1
kr,14.54249477,46.40522003,332,FALSE,1,0,0.1
kr,14.54555416,46.40183258,333,FALSE,1,0,0.1
kr,14.54932499,46.3976593,334,FALSE,1,0,0.1
kr,14.55447006,46.39184952,335,FALSE,1,0,0.1
kr,14.5554781,46.38764954,336,FALSE,1,0,0.1
kr,14.55624008,46.38447189,337,FALSE,1,0,0.1
kr,14.5589571,46.37481689,338,FALSE,1,0,0.1
kr,14.55905342,46.36736298,339,FALSE,1,0,0.1
