"TIME","GEO","INDIC_DE","UNIT","Value","Flag and Footnotes"
"2013","Hungary","Infant mortality rate","Rate","5.0",""
"2013","Malta","Infant mortality rate","Rate","6.7",""
"2013","Netherlands","Infant mortality rate","Rate","3.8",""
"2013","Austria","Infant mortality rate","Rate","3.1",""
"2013","Poland","Infant mortality rate","Rate","4.6",""
"2013","Portugal","Infant mortality rate","Rate","2.9",""
"2013","Romania","Infant mortality rate","Rate","8.9",""
"2013","Slovenia","Infant mortality rate","Rate","2.9",""
"2013","Slovakia","Infant mortality rate","Rate","5.5",""
"2013","Finland","Infant mortality rate","Rate","1.8",""
"2013","Sweden","Infant mortality rate","Rate","2.7",""
"2013","Iceland","Infant mortality rate","Rate","1.8",""
"2013","Liechtenstein","Infant mortality rate","Rate","5.9",""
"2013","Norway","Infant mortality rate","Rate","2.4",""
"2013","Switzerland","Infant mortality rate","Rate","3.9",""
"2013","United Kingdom","Infant mortality rate","Rate","3.9",""
"2013","Montenegro","Infant mortality rate","Rate","4.4",""
"2014","Belgium","Infant mortality rate","Rate","3.4",""
"2014","Bulgaria","Infant mortality rate","Rate","7.6",""
"2014","Czechia","Infant mortality rate","Rate","2.4",""
"2014","Denmark","Infant mortality rate","Rate","4.0",""
"2014","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.2",""
"2014","Estonia","Infant mortality rate","Rate","2.7",""
"2014","Ireland","Infant mortality rate","Rate","3.3",""
"2014","Greece","Infant mortality rate","Rate","3.7",""
"2014","Spain","Infant mortality rate","Rate","2.8",""
"2014","France","Infant mortality rate","Rate","3.5",""
"2014","Croatia","Infant mortality rate","Rate","5.0",""
"2014","Italy","Infant mortality rate","Rate","2.8",""
"2014","Cyprus","Infant mortality rate","Rate","2.1",""
"2014","Latvia","Infant mortality rate","Rate","3.8",""
"2014","Lithuania","Infant mortality rate","Rate","3.9",""
"2014","Luxembourg","Infant mortality rate","Rate","2.8",""
"2014","Hungary","Infant mortality rate","Rate","4.5",""
"2014","Malta","Infant mortality rate","Rate","5.0",""
"2014","Netherlands","Infant mortality rate","Rate","3.6",""
"2014","Austria","Infant mortality rate","Rate","3.0",""
"2014","Poland","Infant mortality rate","Rate","4.2",""
"2014","Portugal","Infant mortality rate","Rate","2.9",""
"2014","Romania","Infant mortality rate","Rate","8.2",""
"2014","Slovenia","Infant mortality rate","Rate","1.8",""
"2014","Slovakia","Infant mortality rate","Rate","5.8",""
"2014","Finland","Infant mortality rate","Rate","2.2",""
"2014","Sweden","Infant mortality rate","Rate","2.2",""
"2014","Iceland","Infant mortality rate","Rate","2.1",""
"2014","Liechtenstein","Infant mortality rate","Rate","2.7",""
"2014","Norway","Infant mortality rate","Rate","2.4",""
"2014","Switzerland","Infant mortality rate","Rate","3.9",""
"2014","United Kingdom","Infant mortality rate","Rate","3.9",""
"2014","Montenegro","Infant mortality rate","Rate","4.9",""
"2015","Belgium","Infant mortality rate","Rate","3.3",""
"2015","Bulgaria","Infant mortality rate","Rate","6.6",""
"2015","Czechia","Infant mortality rate","Rate","2.5",""
"2015","Denmark","Infant mortality rate","Rate","3.7",""
"2015","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.3",""
