"TIME","GEO","ICCS","LEG_STAT","SEX","UNIT","Value","Flag and Footnotes"
"2009","Scotland","Rape","Convicted person","Total","Number","45",""
"2009","Scotland","Sexual assault","Convicted person","Total","Number","158",""
"2009","Northern Ireland (UK)","Intentional homicide","Convicted person","Total","Number","16",""
"2009","Northern Ireland (UK)","Rape","Convicted person","Total","Number","17",""
"2009","Northern Ireland (UK)","Sexual assault","Convicted person","Total","Number","506",""
"2009","Montenegro","Intentional homicide","Convicted person","Total","Number","28",""
"2009","Montenegro","Rape","Convicted person","Total","Number","9",""
"2009","Montenegro","Sexual assault","Convicted person","Total","Number","44",""
"2010","Belgium","Intentional homicide","Convicted person","Total","Number","213",""
"2010","Belgium","Rape","Convicted person","Total","Number","593",""
"2010","Belgium","Sexual assault","Convicted person","Total","Number",":",""
"2010","Bulgaria","Intentional homicide","Convicted person","Total","Number","126",""
"2010","Bulgaria","Rape","Convicted person","Total","Number","149",""
"2010","Bulgaria","Sexual assault","Convicted person","Total","Number","114",""
"2010","Czechia","Intentional homicide","Convicted person","Total","Number","109",""
"2010","Czechia","Rape","Convicted person","Total","Number","174",""
"2010","Czechia","Sexual assault","Convicted person","Total","Number","368",""
"2010","Denmark","Intentional homicide","Convicted person","Total","Number","54",""
"2010","Denmark","Rape","Convicted person","Total","Number","229",""
"2010","Denmark","Sexual assault","Convicted person","Total","Number","242",""
"2010","Germany (until 1990 former territory of the FRG)","Intentional homicide","Convicted person","Total","Number","380",""
"2010","Germany (until 1990 former territory of the FRG)","Rape","Convicted person","Total","Number","859",""
"2010","Germany (until 1990 former territory of the FRG)","Sexual assault","Convicted person","Total","Number","6,757",""
"2010","Estonia","Intentional homicide","Convicted person","Total","Number","53",""
"2010","Estonia","Rape","Convicted person","Total","Number","35",""
"2010","Estonia","Sexual assault","Convicted person","Total","Number","31",""
"2010","Ireland","Intentional homicide","Convicted person","Total","Number","16",""
"2010","Ireland","Rape","Convicted person","Total","Number","37",""
"2010","Ireland","Sexual assault","Convicted person","Total","Number","142",""
"2010","Greece","Intentional homicide","Convicted person","Total","Number",":",""
"2010","Greece","Rape","Convicted person","Total","Number",":",""
"2010","Greece","Sexual assault","Convicted person","Total","Number",":",""
"2010","Spain","Intentional homicide","Convicted person","Total","Number",":",""
"2010","Spain","Rape","Convicted person","Total","Number",":",""
"2010","Spain","Sexual assault","Convicted person","Total","Number",":",""
"2010","France","Intentional homicide","Convicted person","Total","Number","657",""
"2010","France","Rape","Convicted person","Total","Number","1,361",""
"2010","France","Sexual assault","Convicted person","Total","Number","5,488",""
"2010","Croatia","Intentional homicide","Convicted person","Total","Number","34",""
"2010","Croatia","Rape","Convicted person","Total","Number","74",""
"2010","Croatia","Sexual assault","Convicted person","Total","Number","231",""
"2010","Italy","Intentional homicide","Convicted person","Total","Number","590",""
"2010","Italy","Rape","Convicted person","Total","Number","1,540",""
"2010","Italy","Sexual assault","Convicted person","Total","Number",":",""
"2010","Cyprus","Intentional homicide","Convicted person","Total","Number","13",""
"2010","Cyprus","Rape","Convicted person","Total","Number","15",""
"2010","Cyprus","Sexual assault","Convicted person","Total","Number","14",""
"2010","Latvia","Intentional homicide","Convicted person","Total","Number","78",""
"2010","Latvia","Rape","Convicted person","Total","Number","41",""
"2010","Latvia","Sexual assault","Convicted person","Total","Number","24",""
"2010","Lithuania","Intentional homicide","Convicted person","Total","Number","237",""
"2010","Lithuania","Rape","Convicted person","Total","Number","122",""
"2010","Lithuania","Sexual assault","Convicted person","Total","Number","128",""
"2010","Luxembourg","Intentional homicide","Convicted person","Total","Number",":",""
"2010","Luxembourg","Rape","Convicted person","Total","Number",":",""
"2010","Luxembourg","Sexual assault","Convicted person","Total","Number",":",""
"2010","Hungary","Intentional homicide","Convicted person","Total","Number","138",""
"2010","Hungary","Rape","Convicted person","Total","Number","99",""
"2010","Hungary","Sexual assault","Convicted person","Total","Number","120",""
"2010","Malta","Intentional homicide","Convicted person","Total","Number","3",""
"2010","Malta","Rape","Convicted person","Total","Number",":",""
"2010","Malta","Sexual assault","Convicted person","Total","Number",":",""
"2010","Netherlands","Intentional homicide","Convicted person","Total","Number",":",""
"2010","Netherlands","Rape","Convicted person","Total","Number","137",""
"2010","Netherlands","Sexual assault","Convicted person","Total","Number","1,052",""
"2010","Austria","Intentional homicide","Convicted person","Total","Number","39",""
"2010","Austria","Rape","Convicted person","Total","Number","209",""
