"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","North Macedonia","Age reached during the year","Total","Number","Females",":",""
"2008","Belgium","Age reached during the year","Total","Number","Total",":",""
"2008","Belgium","Age reached during the year","Total","Number","Males",":",""
"2008","Belgium","Age reached during the year","Total","Number","Females",":",""
"2008","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","Age reached during the year","Total","Number","Males",":",""
"2008","Bulgaria","Age reached during the year","Total","Number","Females",":",""
"2008","Czechia","Age reached during the year","Total","Number","Total","108,267","b"
"2008","Czechia","Age reached during the year","Total","Number","Males","64,769","b"
"2008","Czechia","Age reached during the year","Total","Number","Females","43,498","b"
"2008","Denmark","Age reached during the year","Total","Number","Total","57,357","b"
"2008","Denmark","Age reached during the year","Total","Number","Males","29,940","b"
"2008","Denmark","Age reached during the year","Total","Number","Females","27,417","b"
"2008","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","682,146",""
"2008","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Males","404,759",""
"2008","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Females","277,387",""
"2008","Estonia","Age reached during the year","Total","Number","Total","3,671",""
"2008","Estonia","Age reached during the year","Total","Number","Males","2,181",""
"2008","Estonia","Age reached during the year","Total","Number","Females","1,490",""
"2008","Ireland","Age reached during the year","Total","Number","Total","82,592",""
"2008","Ireland","Age reached during the year","Total","Number","Males","40,543",""
"2008","Ireland","Age reached during the year","Total","Number","Females","42,049",""
"2008","Greece","Age reached during the year","Total","Number","Total","66,529",""
"2008","Greece","Age reached during the year","Total","Number","Males","34,473",""
"2008","Greece","Age reached during the year","Total","Number","Females","32,056",""
"2008","Spain","Age reached during the year","Total","Number","Total","599,075","b"
"2008","Spain","Age reached during the year","Total","Number","Males","310,263","b"
"2008","Spain","Age reached during the year","Total","Number","Females","288,812","b"
"2008","France","Age reached during the year","Total","Number","Total","296,608",""
"2008","France","Age reached during the year","Total","Number","Males","142,497",""
"2008","France","Age reached during the year","Total","Number","Females","154,111",""
"2008","Croatia","Age reached during the year","Total","Number","Total","16,883","b"
"2008","Croatia","Age reached during the year","Total","Number","Males","9,637","b"
"2008","Croatia","Age reached during the year","Total","Number","Females","7,246","b"
"2008","Italy","Age reached during the year","Total","Number","Total","534,712",""
"2008","Italy","Age reached during the year","Total","Number","Males","248,494",""
"2008","Italy","Age reached during the year","Total","Number","Females","286,218",""
"2008","Cyprus","Age reached during the year","Total","Number","Total","21,060",""
"2008","Cyprus","Age reached during the year","Total","Number","Males","9,462",""
"2008","Cyprus","Age reached during the year","Total","Number","Females","11,598",""
"2008","Latvia","Age reached during the year","Total","Number","Total","4,678",""
"2008","Latvia","Age reached during the year","Total","Number","Males","2,881",""
"2008","Latvia","Age reached during the year","Total","Number","Females","1,797",""
"2008","Lithuania","Age reached during the year","Total","Number","Total","9,297",""
"2008","Lithuania","Age reached during the year","Total","Number","Males","5,502",""
"2008","Lithuania","Age reached during the year","Total","Number","Females","3,795",""
"2008","Luxembourg","Age reached during the year","Total","Number","Total","17,758",""
"2008","Luxembourg","Age reached during the year","Total","Number","Males","9,671",""
"2008","Luxembourg","Age reached during the year","Total","Number","Females","8,087",""
"2008","Hungary","Age reached during the year","Total","Number","Total","37,652","b"
"2008","Hungary","Age reached during the year","Total","Number","Males","22,014","b"
"2008","Hungary","Age reached during the year","Total","Number","Females","15,638","b"
"2008","Malta","Age reached during the year","Total","Number","Total","6,043",""
"2008","Malta","Age reached during the year","Total","Number","Males","3,852",""
"2008","Malta","Age reached during the year","Total","Number","Females","2,191",""
"2008","Netherlands","Age reached during the year","Total","Number","Total","143,516",""
"2008","Netherlands","Age reached during the year","Total","Number","Males","75,552",""
"2008","Netherlands","Age reached during the year","Total","Number","Females","67,964",""
"2008","Austria","Age reached during the year","Total","Number","Total","73,772",""
"2008","Austria","Age reached during the year","Total","Number","Males","37,972",""
"2008","Austria","Age reached during the year","Total","Number","Females","35,800",""
"2008","Poland","Age reached during the year","Total","Number","Total","15,275",""
"2008","Poland","Age reached during the year","Total","Number","Males","8,984",""
"2008","Poland","Age reached during the year","Total","Number","Females","6,291",""
"2008","Portugal","Age reached during the year","Total","Number","Total","29,718",""
"2008","Portugal","Age reached during the year","Total","Number","Males","12,384",""
"2008","Portugal","Age reached during the year","Total","Number","Females","17,334",""
"2008","Romania","Age reached during the year","Total","Number","Total","138,929","b"
"2008","Romania","Age reached during the year","Total","Number","Males","85,421",""
"2008","Romania","Age reached during the year","Total","Number","Females","53,508",""
"2008","Slovenia","Age reached during the year","Total","Number","Total","30,693","b"
"2008","Slovenia","Age reached during the year","Total","Number","Males","23,815","b"
"2008","Slovenia","Age reached during the year","Total","Number","Females","6,878","b"
"2008","Slovakia","Age reached during the year","Total","Number","Total","8,765",""
"2008","Slovakia","Age reached during the year","Total","Number","Males","6,006",""
"2008","Slovakia","Age reached during the year","Total","Number","Females","2,759",""
